steps,values,std_values,n_values
372,3795,3795,0.019210933448106357
373,2580,2580,0.013060397442981396
374,2798,2798,0.014163950405217809
375,2121,2121,0.010736861618823078
376,3207,3207,0.016234377751798968
377,2570,2570,0.013009775747465965
378,2670,2670,0.013515992702620282
379,2709,2709,0.013713417315130465
380,2054,2054,0.010397696258869686
381,3782,3782,0.019145125243936294
382,2827,2827,0.014310753322212561
383,3324,3324,0.01682665158932952
384,2063,2063,0.010443255784833573
385,2015,2015,0.010200271646359501
386,2226,2226,0.011268389421735112
387,1634,1634,0.008271585047221551
388,2296,2296,0.011622741290343134
389,1909,1909,0.009663681673895924
390,2039,2039,0.010321763715596538
391,1911,1911,0.009673806012999012
392,2100,2100,0.010630556058240672
393,2118,2118,0.010721675110168449
394,1863,1863,0.00943082187452494
395,2177,2177,0.011020343113709497
396,1989,1989,0.01006865523801938
397,2044,2044,0.010347074563354253
398,2013,2013,0.010190147307256415
399,1957,1957,0.009906665812369998
400,1594,1594,0.008069098265159823
401,2157,2157,0.010919099722678632
402,1826,1826,0.00924352160111784
403,2051,2051,0.010382509750215057
404,1965,1965,0.009947163168782342
405,2200,2200,0.011136773013394989
406,1853,1853,0.009380200179009507
407,2070,2070,0.010478690971694377
408,2068,2068,0.01046856663259129
409,1945,1945,0.00984591977775148
410,2183,2183,0.011050716131018755
411,2047,2047,0.010362261072008883
412,2144,2144,0.01085329151850857
413,1658,1658,0.008393077116458588
414,2183,2183,0.011050716131018755
415,2039,2039,0.010321763715596538
416,2126,2126,0.010762172466580794
417,2006,2006,0.010154712120395613
418,2051,2051,0.010382509750215057
419,2280,2280,0.011541746577518443
420,1625,1625,0.008226025521257662
421,2245,2245,0.011364570643214432
422,1938,1938,0.009810484590890676
423,1802,1802,0.009122029531880805
424,1859,1859,0.009410573196318765
425,2100,2100,0.010630556058240672
426,2916,2916,0.014761286412299904
427,2494,2494,0.012625050861548684
428,2838,2838,0.014366437187279537
429,2704,2704,0.01368810646737275
430,3033,3033,0.015353560249830455
431,2953,2953,0.014948586685707001
432,2889,2889,0.014624607834408238
433,3029,3029,0.015333311571624283
434,2864,2864,0.014498053595619658
435,2962,2962,0.01499414621167089
436,2213,2213,0.01120258121756505
437,3298,3298,0.016695035180989398
438,2782,2782,0.014082955692393118
439,3254,3254,0.0164722997207215
440,3127,3127,0.015829404187675516
441,2048,2048,0.010367323241560426
442,3339,3339,0.016902584132602667
443,2746,2746,0.013900717588537564
444,2630,2630,0.013313505920558555
445,2568,2568,0.012999651408362877
446,2053,2053,0.010392634089318143
447,3886,3886,0.019671590877296787
448,2816,2816,0.014255069457145586
449,3466,3466,0.01754547966564865
450,1934,1934,0.009790235912684504
451,2073,2073,0.010493877480349006
452,2080,2080,0.010529312667209807
453,1861,1861,0.009420697535421851
454,2194,2194,0.01110639999608573
455,1972,1972,0.009982598355643146
456,2049,2049,0.010372385411111969
457,1825,1825,0.009238459431566298
458,2210,2210,0.011187394708910421
459,1648,1648,0.008342455420943156
460,2010,2010,0.010174960798601786
461,2095,2095,0.010605245210482955
462,2067,2067,0.010463504463039747
463,1968,1968,0.009962349677436972
464,2146,2146,0.010863415857611658
465,1788,1788,0.0090511591581592
466,2271,2271,0.011496187051554555
467,1981,1981,0.010028157881607033
468,2164,2164,0.010954534909539435
469,2032,2032,0.010286328528735735
470,2135,2135,0.010807731992544683
